Year ,City,City_ID,Population
2021,Montréal CMA,2021S0503462,4330143
2022,Montréal CMA,2021S0503462,4372296
2023,Montréal CMA,2021S0503462,4465221
2024,Montréal CMA,2021S0503462,4572813
2025,Montréal CMA,2021S0503462,4597837
2021,Ottawa-Gatineau CMA,2021S050535505,1184369
2022,Ottawa-Gatineau CMA,2021S050535505,1209897
2023,Ottawa-Gatineau CMA,2021S050535505,1246173
2024,Ottawa-Gatineau CMA,2021S050535505,1291272
2025,Ottawa-Gatineau CMA,2021S050535505,1325788
2021,Toronto CMA,2021S0503535,6472951
2022,Toronto CMA,2021S0503535,6591642
2023,Toronto CMA,2021S0503535,6840723
2024,Toronto CMA,2021S0503535,7109866
2025,Toronto CMA,2021S0503535,7108874
2021,Calgary CMA,2021S0503825,1540242
2022,Calgary CMA,2021S0503825,1587723
2023,Calgary CMA,2021S0503825,1680332
2024,Calgary CMA,2021S0503825,1783661
2025,Calgary CMA,2021S0503825,1836012
2021,Vancouver CMA,2021S0503933,2771430
2022,Vancouver CMA,2021S0503933,2855205
2023,Vancouver CMA,2021S0503933,2970008
2024,Vancouver CMA,2021S0503933,3081713
2025,Vancouver CMA,2021S0503933,3088036
