"REF_DATE","GEO","DGUID","Household size (7)","Household type including census family structure (11)","Household income statistics (6)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Abbotsford - Mission (CMA) 932, B.C.","2021S0503932","Total - Households by household size","Total – Household type including census family structure","Median household total income (2020) (2020 constant dollars)","","0","units","0","","1.1.1.3","91000","","","","0"
"2021","Abbotsford - Mission (CMA) 932, B.C.","2021S0503932","Total - Households by household size","Total – Household type including census family structure","Median household total income (2015) (2020 constant dollars)","","0","units","0","","1.1.1.4","79500","","","","0"
"2021","Abbotsford - Mission (CMA) 932, B.C.","2021S0503932","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2020) (2020 constant dollars)","","0","units","0","","1.1.1.5","82000","","","","0"
"2021","Abbotsford - Mission (CMA) 932, B.C.","2021S0503932","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2015) (2020 constant dollars)","","0","units","0","","1.1.1.6","70000","","","","0"
"2021","Calgary (CMA) 825, Alta.","2021S0503825","Total - Households by household size","Total – Household type including census family structure","Median household total income (2020) (2020 constant dollars)","","0","units","0","","162.1.1.3","100000","","","","0"
"2021","Calgary (CMA) 825, Alta.","2021S0503825","Total - Households by household size","Total – Household type including census family structure","Median household total income (2015) (2020 constant dollars)","","0","units","0","","162.1.1.4","108000","","","","0"
"2021","Calgary (CMA) 825, Alta.","2021S0503825","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2020) (2020 constant dollars)","","0","units","0","","162.1.1.5","87000","","","","0"
"2021","Calgary (CMA) 825, Alta.","2021S0503825","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2015) (2020 constant dollars)","","0","units","0","","162.1.1.6","92000","","","","0"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Households by household size","Total – Household type including census family structure","Median household total income (2020) (2020 constant dollars)","","0","units","0","","1829.1.1.3","76000","","","","0"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Households by household size","Total – Household type including census family structure","Median household total income (2015) (2020 constant dollars)","","0","units","0","","1829.1.1.4","67000","","","","0"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2020) (2020 constant dollars)","","0","units","0","","1829.1.1.5","65500","","","","0"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2015) (2020 constant dollars)","","0","units","0","","1829.1.1.6","58000","","","","0"
"2021","Ottawa - Gatineau (CMA) 505, Ont.","2021S0503505","Total - Households by household size","Total – Household type including census family structure","Median household total income (2020) (2020 constant dollars)","","0","units","0","","2976.1.1.3","98000","","","","0"
"2021","Ottawa - Gatineau (CMA) 505, Ont.","2021S0503505","Total - Households by household size","Total – Household type including census family structure","Median household total income (2015) (2020 constant dollars)","","0","units","0","","2976.1.1.4","89000","","","","0"
"2021","Ottawa - Gatineau (CMA) 505, Ont.","2021S0503505","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2020) (2020 constant dollars)","","0","units","0","","2976.1.1.5","84000","","","","0"
"2021","Ottawa - Gatineau (CMA) 505, Ont.","2021S0503505","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2015) (2020 constant dollars)","","0","units","0","","2976.1.1.6","75500","","","","0"
"2021","Toronto (CMA) 535, Ont.","2021S0503535","Total - Households by household size","Total – Household type including census family structure","Median household total income (2020) (2020 constant dollars)","","0","units","0","","4112.1.1.3","97000","","","","0"
"2021","Toronto (CMA) 535, Ont.","2021S0503535","Total - Households by household size","Total – Household type including census family structure","Median household total income (2015) (2020 constant dollars)","","0","units","0","","4112.1.1.4","85000","","","","0"
"2021","Toronto (CMA) 535, Ont.","2021S0503535","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2020) (2020 constant dollars)","","0","units","0","","4112.1.1.5","85000","","","","0"
"2021","Toronto (CMA) 535, Ont.","2021S0503535","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2015) (2020 constant dollars)","","0","units","0","","4112.1.1.6","74500","","","","0"
"2021","Vancouver (CMA) 933, B.C.","2021S0503933","Total - Households by household size","Total – Household type including census family structure","Median household total income (2020) (2020 constant dollars)","","0","units","0","","5381.1.1.3","90000","","","","0"
"2021","Vancouver (CMA) 933, B.C.","2021S0503933","Total - Households by household size","Total – Household type including census family structure","Median household total income (2015) (2020 constant dollars)","","0","units","0","","5381.1.1.4","78500","","","","0"
"2021","Vancouver (CMA) 933, B.C.","2021S0503933","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2020) (2020 constant dollars)","","0","units","0","","5381.1.1.5","79500","","","","0"
"2021","Vancouver (CMA) 933, B.C.","2021S0503933","Total - Households by household size","Total – Household type including census family structure","Median household after-tax income (2015) (2020 constant dollars)","","0","units","0","","5381.1.1.6","68500","","","","0"


